"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C8,C10,C12,C14,C15,C18,C21,C23","11","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C5,C7,C13","4","10u","","","","Footprints:T491A","~"
"C6,C11,C22","3","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9","1","4.7u","","","","Footprints:T491A","~"
"C16,C20","2","0.1U","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C17,C24,C25","3","10n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C19","1","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"F1","1","0ZCH0110AF2E","","","","Footprints:FUSC3226X100N","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0zch-series.pdf"
"FB1","1","FBMJ2125HM330-T","","","","Footprints:BEADC2012X105N",""
"J1","1","SS-52400-002","","","","Footprints:BELFUSE_SS-52400-002",""
"J3","1","GSD090012SEU","","","","Footprints:AMPHENOL_GSD090012SEU",""
"J4","1","B4B-XH-AM","","","","Footprints:JST_B4B-XH-AM__LF__SN_",""
"J5","1","B2B-PH-SM4-TB","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J6","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"LED1,LED5","2","Red","","","","Footprints:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170KRKT.pdf"
"LED2,LED6","2","Green","","","","Footprints:LEDC2012X120N","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/895/LTST-C170GKT.pdf"
"LED3","1","Blue","","","","Footprints:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170TBKT.pdf"
"LED4","1","RED D4","","","","Footprints:LEDC2012X120N","https://componentsearchengine.com/Datasheets/1/LTST-C170KRKT.pdf"
"MK1","1","CMC-5042PF-AC","","","","Footprints:CUI_CMC-5042PF-AC",""
"Q1","1","TEMT6000X01","","","","Footprints:TRANS_TEMT6000X01",""
"Q2,Q3","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf"
"R1,R19,R21,R32,R33,R34","6","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","5k1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5","1","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","20k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R9,R10,R14,R15","6","470","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11","1","1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12","1","22K1","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","47K5","","","","Resistor_SMD:R_0805_2012Metric","~"
"R16,R18,R20,R22","4","50","","","","Resistor_SMD:R_0805_2012Metric","~"
"R17","1","35WR100KLFTR","","","","Footprints:TRIM_35WR100KLFTR",""
"R24,R25","2","4K7","","","","Resistor_SMD:R_0805_2012Metric","~"
"R26,R28","2","2K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R27,R29","2","1m","","","","Resistor_SMD:R_0805_2012Metric","~"
"R30","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R31","1","22K","","","","Resistor_SMD:R_0805_2012Metric","~"
"S1","1","BOOT","","","","Footprints:SW_USLPT2819DT2TR",""
"S2","1","RESET","","","","Footprints:SW_USLPT2819DT2TR",""
"TP1","1","TEST MISO","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP2","1","TEST MOSI","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP3","1","TEST SCLK","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP4","1","TEST CS_SD","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"TP5","1","TEST CS","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","MCP73871","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf"
"U2","1","BME280","","","","Footprints:PSON65P250X250X100-8N",""
"U3","1","ESP32-C3-WROOM-02-H4","","","","Footprints:MODULE_ESP32-C3-WROOM-02-H4",""
"U4","1","CP2102N-Axx-xQFN20","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf"
"U5","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U6","1","W25Q32JVSSIQ","","","","Footprints:SOIC127P790X216-8N",""
"U7","1","MAX4466EXK","","","","Footprints:SOT65P210X110-5N",""
"VR1","1","LM1117MPX-3.3","","","","Footprints:VREG_LM1117MPX-3.3",""
